paper_id,filename,title,authors,booktitle
95,http:///fmg-www.cs.ucla.edu/classes/239_2.fall98/papers/SOSP95/exokernel.ps,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///www.cag.lcs.mit.edu/multiscale/exokernel.ps.Z,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///www.cc.gatech.edu/fac/Mustaque.Ahamad/courses/papers/exokernel.ps,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///www.cs.rutgers.edu/~rodemann/519/reading-list/Exokernel.ps,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///www.pdos.lcs.mit.edu/papers/exokernel-sosp95.ps,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///www.pdos.lcs.mit.edu/~engler/sosp-95.ps,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
95,http:///www.psrg.lcs.mit.edu/~james/drafts/exokernel-sosp95.ps,An operating system architecture for application-level resource management.,"Dawson R. Engler, M. Frans Kaashoek, and James W. O\'Toole Jr. Exokernel:","In Proceedings of the Fifteenth ACM Symposium on Operating Systems Principles , December 1995."
100,http:///www.cs.ucsd.edu/users/pasquale/Papers/sigcomm93.ps,The Importance of Non-Data Touching Processing Overheads in TCP/IP.,J. Kay and J. Pasquale.,"In Proc. of SIGCOMM93,"
101,http://ftp://ftp.cs.columbia.edu/reports/reports-1992/cucs-039-92.ps.gz,"Synthesis: An Efficeint Implementation of Fundamental Operating System Services,",Henry Massalin.,
101,http:///http.cs.berkeley.edu/~asah/papers/other/printed/massalin_diss.ps.gz,"Synthesis: An Efficeint Implementation of Fundamental Operating System Services,",Henry Massalin.,
101,http:///www.cs.ucsb.edu/Courses/cs270a/synthesis.ps,"Synthesis: An Efficeint Implementation of Fundamental Operating System Services,",Henry Massalin.,
103,http://ftp://ftp.ee.lbl.gov/papers/bpf-usenix93.ps.Z,The BSD Packet Filter: A New Architecture for User-Level Packet Capture.,Steven McCanne and Van Jacobsen.,"In Proceedings of the 1993 Winter USENIX Conference , January 1993."
103,http:///daedalus.cs.berkeley.edu/publications/winet.ps.gz,The BSD Packet Filter: A New Architecture for User-Level Packet Capture.,Steven McCanne and Van Jacobsen.,"In Proceedings of the 1993 Winter USENIX Conference , January 1993."
103,http:///http.cs.berkeley.edu/~hari/papers/winet.ps,The BSD Packet Filter: A New Architecture for User-Level Packet Capture.,Steven McCanne and Van Jacobsen.,"In Proceedings of the 1993 Winter USENIX Conference , January 1993."
106,http://ftp://ftp.cs.arizona.edu/xkernel/Papers/usc.ps,USC: A Universal Stub Compiler.,"S. O\'Malley, T. Proebstring, and A. Montz.",
107,http:///www.cs.clemson.edu/~malloy/papers/scheduling/complexj95.ps,Profile guided code positioning.,"Pettis, K. and Hansen, R. C.","In Proceedings of the ACM SIGPLAN \'90 Conference on Programming Language Design and Implementation (SIGPLAN \'90),"
107,http:///www.cs.washington.edu/homes/dlee/frontpage/mypapers/pfinal.ps,Profile guided code positioning.,"Pettis, K. and Hansen, R. C.","In Proceedings of the ACM SIGPLAN \'90 Conference on Programming Language Design and Implementation (SIGPLAN \'90),"
107,http:///www.cs.washington.edu/homes/dlee/mypapers/pfinal.ps,Profile guided code positioning.,"Pettis, K. and Hansen, R. C.","In Proceedings of the ACM SIGPLAN \'90 Conference on Programming Language Design and Implementation (SIGPLAN \'90),"
114,http://ftp://ftp.cs.colorado.edu/users/baveja/Papers/realtime-dp.ps.gz,Learning to Act using Real- Time Dynamic Programming.,"Barto, A.G., Bradtke, S.J., Singh, S.P.,",
114,http://ftp://ftp.cs.umass.edu/pub/anw/pub/barto/realtime-dp.ps.Z,Learning to Act using Real- Time Dynamic Programming.,"Barto, A.G., Bradtke, S.J., Singh, S.P.,",
114,http://ftp://ftp.cs.umass.edu/pub/techrept/techreport/1993/UM-CS-1993-002.ps,Learning to Act using Real- Time Dynamic Programming.,"Barto, A.G., Bradtke, S.J., Singh, S.P.,",
114,http:///www-anw.cs.umass.edu/People/singh/Papers/realtime-dp.ps,Learning to Act using Real- Time Dynamic Programming.,"Barto, A.G., Bradtke, S.J., Singh, S.P.,",
117,http:///www.cs.duke.edu/~mlittman/docs/gmdp.ps,Dynamic Programming and Markov Processes.,"Howard, R. A.",
128,http://ftp://ftp.cs.colorado.edu/users/baveja/Papers/AAAI94.ps.gz,Reinforcement Learning Algorithms for Average-Payoff Markovian Decision Processes.,"Singh, S. P.","In Proceedings of AAAI-94,"
128,http:///www-anw.cs.umass.edu/cgi-bin/getfile/pub/anw/pub/singh/singh-AAAI94.ps.Z,Reinforcement Learning Algorithms for Average-Payoff Markovian Decision Processes.,"Singh, S. P.","In Proceedings of AAAI-94,"
130,http:///www.cs.orst.edu/~tadepall/research/papers/local-linear-regression.ps,Ok. Scaling up average reward reinforcement learning by approx-imating the domain models and the value function.,P. Tadepalli and D.,"In Proceedings of International Machine Learning Conference,"
130,http:///www.cs.orst.edu:80/~tadepall/research/papers/local-linear-regression.ps,Ok. Scaling up average reward reinforcement learning by approx-imating the domain models and the value function.,P. Tadepalli and D.,"In Proceedings of International Machine Learning Conference,"
136,http://ftp://ftp.cs.umd.edu/pub/papers/papers/1833/1833.ps.Z,On the boundedness of an iterative procedure for solving a system of linear inequalities.,H.D. Block and S.A. Levin.,
136,http://ftp://thales.cs.umd.edu/pub/reports/imsli.ps,On the boundedness of an iterative procedure for solving a system of linear inequalities.,H.D. Block and S.A. Levin.,
138,http:///www.cs.wustl.edu/cs/techreports/1996/wucs-96-12.ps.Z,The APIC Approach to High Performance Network Interface Design: Protected DMA and Other Techniques.,"Zubin D. Dittia, Guru M. Parulkar, and Jr. Jerome R. Cox.","In Proceedings of INFOCOM \'97,"
139,http:///www.cs.berkeley.edu/~kubitron/compread/pdos-dpf.ps,"Fast, Flexible MEssage Demultiplexing using Dynamic Code Generation.",Engler and Kaashoek. DPF:,
139,http:///www.pdos.lcs.mit.edu/papers/dpf.ps,"Fast, Flexible MEssage Demultiplexing using Dynamic Code Generation.",Engler and Kaashoek. DPF:,
139,http:///www.pdos.lcs.mit.edu/~engler/dpf-sigcomm96.ps,"Fast, Flexible MEssage Demultiplexing using Dynamic Code Generation.",Engler and Kaashoek. DPF:,
141,http:///www-csag.cs.uiuc.edu/achien/cs491-f97/papers/SIGCOMM-96.ps.gz,Measuring the Performance of Communication Middleware on High-Speed Networks.,Aniruddha Gokhale and Douglas C. Schmidt.,"In Proceedings of SIGCOMM \'96,"
141,http:///www.cs.wustl.edu/~schmidt/SIGCOMM-96.ps.gz,Measuring the Performance of Communication Middleware on High-Speed Networks.,Aniruddha Gokhale and Douglas C. Schmidt.,"In Proceedings of SIGCOMM \'96,"
141,http:///www.tns.lcs.mit.edu/~djw/library/sigcomm96/gokhale.ps.gz,Measuring the Performance of Communication Middleware on High-Speed Networks.,Aniruddha Gokhale and Douglas C. Schmidt.,"In Proceedings of SIGCOMM \'96,"
142,http:///www-csag.cs.uiuc.edu/achien/cs491-f97/papers/ICDCS-97.ps.gz,Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks.,Aniruddha Gokhale and Douglas C. Schmidt.,"In Proceedings of the International Conference on Distributed Computing Systems,"
142,http:///www.cs.wustl.edu/~gokhale/Papers/ieee_tc.ps.gz,Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks.,Aniruddha Gokhale and Douglas C. Schmidt.,"In Proceedings of the International Conference on Distributed Computing Systems,"
142,http:///www.cs.wustl.edu/~schmidt/GLOBECOM-96.ps.gz,Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks.,Aniruddha Gokhale and Douglas C. Schmidt.,"In Proceedings of the International Conference on Distributed Computing Systems,"
142,http:///www.cs.wustl.edu/~schmidt/ICDCS-97.ps.gz,Evaluating Latency and Scalability of CORBA Over High-Speed ATM Networks.,Aniruddha Gokhale and Douglas C. Schmidt.,"In Proceedings of the International Conference on Distributed Computing Systems,"
144,http:///www-csag.cs.uiuc.edu/achien/cs491-f97/papers/HICSS-97.ps.gz,Principles for Optimizing CORBA Internet Inter-ORB Protocol Performance.,Aniruddha Gokhale and Douglas C. Schmidt.,
144,http:///www.cs.wustl.edu/cs/techreports/1997/wucs-97-10.ps.Z,Principles for Optimizing CORBA Internet Inter-ORB Protocol Performance.,Aniruddha Gokhale and Douglas C. Schmidt.,
144,http:///www.cs.wustl.edu/~schmidt/HICSS-97.ps.gz,Principles for Optimizing CORBA Internet Inter-ORB Protocol Performance.,Aniruddha Gokhale and Douglas C. Schmidt.,
145,http:///geyer.lcs.mit.edu/~jchapin/6853/Papers/corba-oopsla.ps.gz,The Design and Performance of a Real-time CORBA Object Event Service.,"Tim Harrison, David Levine, and Douglas C. Schmidt.","In Proceedings of OOPSLA \'97,"
145,http:///www.cs.wustl.edu/cs/techreports/1997/wucs-97-31.ps.gz,The Design and Performance of a Real-time CORBA Object Event Service.,"Tim Harrison, David Levine, and Douglas C. Schmidt.","In Proceedings of OOPSLA \'97,"
145,http:///www.cs.wustl.edu/~schmidt/JSAC-98.ps.gz,The Design and Performance of a Real-time CORBA Object Event Service.,"Tim Harrison, David Levine, and Douglas C. Schmidt.","In Proceedings of OOPSLA \'97,"
145,http:///www.cs.wustl.edu/~schmidt/oopsla.ps.gz,The Design and Performance of a Real-time CORBA Object Event Service.,"Tim Harrison, David Levine, and Douglas C. Schmidt.","In Proceedings of OOPSLA \'97,"
146,http:///dworkin.wustl.edu/~jmahesh/wcsss96final.ps,"Efficient Demultiplexing of Network Packets by Automatic Parsing,","M. Jayaram, R. K. Cytron, D. C. Schmidt, and G. Vargh-ese,","in Submitted to the ACM SIGPLAN\'95 Conference on Programming Language Design and Implementation, ACM,"
146,http:///www.cs.wustl.edu/cs/techreports/1995/wucs-95-21.ps.Z,"Efficient Demultiplexing of Network Packets by Automatic Parsing,","M. Jayaram, R. K. Cytron, D. C. Schmidt, and G. Vargh-ese,","in Submitted to the ACM SIGPLAN\'95 Conference on Programming Language Design and Implementation, ACM,"
148,http:///geyer.lcs.mit.edu/~jchapin/6853/Papers/packet-filter.ps,The Packet Filter: An Efficient Mechanism for User-level Network Code ACM Symposium on Operating System Principles.,"Mogul, J.C., Rashid, R.F. and Accetta, M.J.",
148,http:///infopad.eecs.berkeley.edu/infopad/research/infonet/papers/protos_06_94/report.ps,The Packet Filter: An Efficient Mechanism for User-level Network Code ACM Symposium on Operating System Principles.,"Mogul, J.C., Rashid, R.F. and Accetta, M.J.",
149,http:///www.cs.wustl.edu/~schmidt/C++-USENIX-90.ps.gz,"A Perfect Hash Function Generator,","Douglas C. Schmidt, GPERF:","in Proceedings of the 2 nd C++ Conference,"
149,http:///www.cs.wustl.edu/~schmidt/gperf.ps.gz,"A Perfect Hash Function Generator,","Douglas C. Schmidt, GPERF:","in Proceedings of the 2 nd C++ Conference,"
150,http:///www.cs.wustl.edu/~cleeland/papers/ORB-patterns/ORB-patterns.ps.gz,Applying Patterns to Develop Extensible ORB Middleware.,Douglas C. Schmidt and Chris Cleeland.,
150,http:///www.cs.wustl.edu/~schmidt/ORB-patterns.ps.gz,Applying Patterns to Develop Extensible ORB Middleware.,Douglas C. Schmidt and Chris Cleeland.,
151,http:///www.cs.wustl.edu/~schmidt/RT-ORB.ps.gz,"and Sumedh Mungee . The Design of the TAO Real-Time Object Request Broker . October 11,","Douglas C. Schmidt, David L. Levine,",1997.
151,http:///www.cs.wustl.edu/~schmidt/TAO.ps.gz,"and Sumedh Mungee . The Design of the TAO Real-Time Object Request Broker . October 11,","Douglas C. Schmidt, David L. Levine,",1997.
152,http:///www.cs.cornell.edu/skeshav/papers/transport.ton.ps,"Layered Multiplexing Considered Harmful. In Rudin and Williamson, editors, Protocols for High Speed Networks.",D. L. Tennenhouse.,
153,http:///www-csag.cs.uiuc.edu/achien/cs491-f97/papers/vinoski.ps.gz,CORBA: Integrating Diverse Applications Within Distri b-uted Heterogeneous Environments.,Steve Vinoski.,
153,http:///www.cs.wustl.edu/~schmidt/vinoski.ps.gz,CORBA: Integrating Diverse Applications Within Distri b-uted Heterogeneous Environments.,Steve Vinoski.,
155,http:///theory.lcs.mit.edu/~madhu/papers/alrs.ps,Reconstructing algebraic functions from mixed data.,"S. Ar, R.J. Lipton, R. Rubinfeld, and M. Su-dan.","In Proc. 33rd Annual Symp. on Foundations of Computer Science (FOCS),"
155,http:///www.cs.cornell.edu/Info/People/ronitt/PAP/bb.ps,Reconstructing algebraic functions from mixed data.,"S. Ar, R.J. Lipton, R. Rubinfeld, and M. Su-dan.","In Proc. 33rd Annual Symp. on Foundations of Computer Science (FOCS),"
164,http://ftp://theory.lcs.mit.edu/pub/people/oded/grs.ps,Learning polynomials with queries: The highly noisy case.,"O. Goldreich, R. Rubinfeld and M. Sudan.","Proceedings of the 36th Symposium on Foundations of Computer Science, IEEE,"
164,http:///theory.lcs.mit.edu/~madhu/papers/grs.ps,Learning polynomials with queries: The highly noisy case.,"O. Goldreich, R. Rubinfeld and M. Sudan.","Proceedings of the 36th Symposium on Foundations of Computer Science, IEEE,"
164,http:///www.cs.cornell.edu/Info/People/ronitt/PAP/grs.ps,Learning polynomials with queries: The highly noisy case.,"O. Goldreich, R. Rubinfeld and M. Sudan.","Proceedings of the 36th Symposium on Foundations of Computer Science, IEEE,"
173,http:///theory.lcs.mit.edu/~madhu/papers/allrtn.ps,"Maximum likelihood decoding of Reed Solomon codes,","M. Sudan,","Proc. 37th IEEE FOCS,"
177,http:///http.cs.berkeley.edu/~halw/poly.ps,Reconstructing randomly sampled multivari ate polynomials from highly noisy data.,H. Wasserman.,"In Proc. 9th SODA,"
184,http:///ic.arc.nasa.gov/ic/projects/bayes-group/NP/ijcai91/phases-for-web.ps,"Where the Really Hard Problems Are,","P. Cheeseman, B. Kanefsky and W. M. Taylor,","Proceedings of the Twelfth International Joint Conference on Artificial Intelligence,"
184,http:///www.isi.edu/sims/minton/papers/aaai94.ps,"Where the Really Hard Problems Are,","P. Cheeseman, B. Kanefsky and W. M. Taylor,","Proceedings of the Twelfth International Joint Conference on Artificial Intelligence,"
185,http:///www.ai.mit.edu/~mpf/desktop/research/QC/other_papers/Chuang-et-al-95.ps,"W.H. Zurek. Quantum Computers, Factoring,","I.L. Chuang, R. Laamme, and P.W. Shor,",
201,http:///www.ai.mit.edu/~mpf/desktop/research/QC/other_papers/Hogg.ps,Quantum computing and phase transitions in combinatorial search.,Tad Hogg.,
201,http:///www.cs.cmu.edu/afs/cs/project/jair/pub/volume4/hogg96a.ps,Quantum computing and phase transitions in combinatorial search.,Tad Hogg.,
201,http:///www.cs.cmu.edu/afs/cs/project/jair/pub/volume4/hogg96a.ps.Z,Quantum computing and phase transitions in combinatorial search.,Tad Hogg.,
212,http:///www.isi.edu/sims/minton/papers/aij-mc.ps,Minimizing conflicts: a heuristic repair method for constraint satisfaction problem and scheduling problems.,"Steven Minton, Mark Johnston, Andrew Philips, and Philip Laird.",
213,http:///simon.cs.cornell.edu/home/selman/papers-ftp/92.aaai.hsat.ps,"Hard and Easy Distributions of SAT Problems,","D. Mitchell, B. Selman and H. Levesque,","Proceedings of the National Conference on Artificial Intelligence,"
213,http:///www.cs.toronto.edu/~mitchell/papers/ai92-hsat.ps,"Hard and Easy Distributions of SAT Problems,","D. Mitchell, B. Selman and H. Levesque,","Proceedings of the National Conference on Artificial Intelligence,"
219,http:///simon.cs.cornell.edu/home/selman/papers-ftp/92.aaai.gsat.ps,A New Method for Solving Hard Satisfiability Problems.,B. Selman.,"Proceedings, AAAI,"
219,http:///www.cs.toronto.edu/~mitchell/papers/ai92-gsat.ps,A New Method for Solving Hard Satisfiability Problems.,B. Selman.,"Proceedings, AAAI,"
249,http:///www-graphics.stanford.edu/papers/spacetime/spacetime.ps.gz,"'Better Optical Triangulation through Spacetime Analysis,'","B. Curless and M. Levoy,","Proc. of Intl. Conf. on Computer Vision,"
250,http://ftp://whitechapel.media.mit.edu/pub/tech-reports/TR-163.ps.Z,Cooperative robust estimation using layers of support.,Trevor Darrell and Alex P. Pentland.,
260,http://ftp://ftp.ai.sri.com/pub/papers/leclerc-ijcv89.ps.gz,Constructing simple stable descriptions for image partitioning.,Yvan G. Leclerc.,
264,http:///netlib.bell-labs.com/cm/ms/departments/sia/doc/96.9.ps,Multivariate Analysis.,"Mardia, K. V., Kent, J. T., and Bibby, J. M.",
266,http:///www.cs.rpi.edu/~millerj/papers/muse_cvpr96.ps.gz,"Robust Regression Minimizing Unbiased Scale Estimates,","J.V. Miller and C.V. Stewart,",
272,http:///www.cs.rpi.edu/tr/93-21.ps,A new robust estimator for computer vision.,C. V. Stewart. MINPRAN:,
272,http:///www.cs.rpi.edu/tr/93-24.ps,A new robust estimator for computer vision.,C. V. Stewart. MINPRAN:,
280,http:///www.cis.ohio-state.edu/~szhu/region_pami.ps.gz,"Region competition: Unifying snakes, region growing, energy/Bayes/MDL for multi-band image segmentation.","S. C. Zhu, T. S. Lee, and A. L. Yuille.","In Int. Conf. on Computer Vision,"
282,http:///www-cse.ucsd.edu/users/gary/pubs/dair94.ps,Belew Learning the optimal parameters in a ranked retrieval system using multi-query relevance feedback.,"Bartell, B.T., Cottrell G.W., and R.K.","In Proc. Symp. on Document Analysis and Information Retrieval,"
282,http:///www-cse.ucsd.edu:80/users/rik/papers/dair94/inc.ps,Belew Learning the optimal parameters in a ranked retrieval system using multi-query relevance feedback.,"Bartell, B.T., Cottrell G.W., and R.K.","In Proc. Symp. on Document Analysis and Information Retrieval,"
282,http:///www.cs.ucsd.edu/~rik/papers/dair94/inc.ps,Belew Learning the optimal parameters in a ranked retrieval system using multi-query relevance feedback.,"Bartell, B.T., Cottrell G.W., and R.K.","In Proc. Symp. on Document Analysis and Information Retrieval,"
288,http:///www.cs.cmu.edu/afs/cs.cmu.edu/user/awd/www/dubrawski_schneider97.ps.gz,"Memory-based Stochastic Optimization,","A. W. Moore and J. Schneider,",
294,http:///www.cs.berkeley.edu/~aiken/ftp/fpca93.ps,Type inclusion constraints and type inference.,Alexander S. Aiken and Edward L. Wimmers.,"In FPCA \'93, Conf. Funct. Program."
297,http:///www.cs.indiana.edu/l/www/ftp/pierce/binary.ps.gz,On binary methods.,"K. Bruce, L. Cardelli, G. Castagna, The Hopkins Object Group, G. Leavens, and B. Pierce.",
304,http://ftp://ftp.cs.jhu.edu/pub/scott/itoopls.ps.Z,An interpretation of typed OOP in a language with state.,"Jonathan Eifrig, Scott Smith, Valery Trifonov, Amy Zwarico.",Lisp and Symbolic Computation 8(4)
304,http://ftp://ftp.cs.jhu.edu/pub/scott/sioopls.ps.Z,An interpretation of typed OOP in a language with state.,"Jonathan Eifrig, Scott Smith, Valery Trifonov, Amy Zwarico.",Lisp and Symbolic Computation 8(4)
304,http:///www.cs.jhu.edu/~trifonov/papers/itoopls.ps.gz,An interpretation of typed OOP in a language with state.,"Jonathan Eifrig, Scott Smith, Valery Trifonov, Amy Zwarico.",Lisp and Symbolic Computation 8(4)
304,http:///www.cs.jhu.edu/~trifonov/papers/sioopls.ps.gz,An interpretation of typed OOP in a language with state.,"Jonathan Eifrig, Scott Smith, Valery Trifonov, Amy Zwarico.",Lisp and Symbolic Computation 8(4)
